,Dataset,Column,Algorithm,Comparisons,Runs,Inversions,Deletions,Dis,deletions_val_dist1,runs_val_dist1,deletions_comp_dist1,runs_comp_dist1,deletions_val_dist2,runs_val_dist2,deletions_comp_dist2,runs_comp_dist2,deletions_val_dist3,runs_val_dist3,deletions_comp_dist3,runs_comp_dist3,deletions_val_dist4,runs_val_dist4,deletions_comp_dist4,runs_comp_dist4,deletions_val_dist5,runs_val_dist5,deletions_comp_dist5,runs_comp_dist5,deletions_val_dist6,runs_val_dist6,deletions_comp_dist6,runs_comp_dist6,deletions_val_dist7,runs_val_dist7,deletions_comp_dist7,runs_comp_dist7,deletions_val_dist8,runs_val_dist8,deletions_comp_dist8,runs_comp_dist8,deletions_val_dist9,runs_val_dist9,deletions_comp_dist9,runs_comp_dist9,deletions_val_dist10,runs_val_dist10,deletions_comp_dist10,runs_comp_dist10,deletions_val_dist11,runs_val_dist11,deletions_comp_dist11,runs_comp_dist11,deletions_val_dist12,runs_val_dist12,deletions_comp_dist12,runs_comp_dist12,deletions_val_dist13,runs_val_dist13,deletions_comp_dist13,runs_comp_dist13,deletions_val_dist14,runs_val_dist14,deletions_comp_dist14,runs_comp_dist14,deletions_val_dist15,runs_val_dist15,deletions_comp_dist15,runs_comp_dist15,deletions_val_dist16,runs_val_dist16,deletions_comp_dist16,runs_comp_dist16,deletions_val_dist17,runs_val_dist17,deletions_comp_dist17,runs_comp_dist17,deletions_val_dist18,runs_val_dist18,deletions_comp_dist18,runs_comp_dist18,deletions_val_dist19,runs_val_dist19,deletions_comp_dist19,runs_comp_dist19,deletions_val_dist20,runs_val_dist20,deletions_comp_dist20,runs_comp_dist20,introsort,insertion_sort,merge_sort,timsort,heap_sort,quick_sort,selection_sort
788,Ads_CTR_Optimisation,Ad 4,timsort,1044,19,1942,173,193,0,0,0,0,0,0,1,1,0,0,2,2,0,0,3,3,0,0,4,4,0,0,5,5,1,1,8,6,2,1,11,7,3,1,14,8,4,1,17,9,5,1,20,10,6,1,23,11,7,1,26,12,8,1,29,13,9,1,32,14,10,1,35,15,11,1,38,16,12,1,41,17,12,1,42,18,13,2,46,19,15980,2141,1544,1044,121,16162,19900
789,Ads_CTR_Optimisation,Ad 5,timsort,1160,34,4008,149,199,0,0,0,0,1,1,2,1,1,1,3,2,1,1,4,3,1,1,5,4,2,2,8,5,3,2,11,6,4,2,14,7,5,2,17,8,5,2,18,9,6,3,21,10,6,3,22,11,7,4,25,12,7,4,26,13,8,5,30,14,9,5,34,15,10,5,38,16,11,5,42,17,12,5,46,18,13,5,50,19,12680,4207,1544,1160,257,12862,19900
790,Ads_CTR_Optimisation,Ad 6,insertion_sort,524,4,325,162,165,0,0,0,0,0,0,1,1,0,0,2,2,0,0,3,3,0,0,4,4,0,0,5,5,0,0,6,6,0,0,7,7,0,0,8,8,0,0,9,9,0,0,10,10,0,0,11,11,0,0,12,12,0,0,13,13,0,0,14,14,0,0,15,15,0,0,16,16,0,0,17,17,0,0,18,18,0,0,19,19,19026,524,1544,848,25,19120,19900
791,Ads_CTR_Optimisation,Ad 7,timsort,976,16,1298,158,175,0,0,0,0,0,0,1,1,0,0,2,2,0,0,3,3,0,0,4,4,0,0,5,5,0,0,6,6,0,0,7,7,0,0,8,8,0,0,9,9,1,1,13,10,2,1,17,11,3,1,21,12,4,1,25,13,5,1,29,14,6,1,33,15,7,1,37,16,8,1,41,17,9,1,45,18,10,1,49,19,16460,1497,1544,976,112,16642,19900
792,Ads_CTR_Optimisation,Ad 8,timsort,1197,36,3756,152,196,0,0,0,0,0,0,1,1,0,0,2,2,1,1,5,3,2,1,8,4,2,1,9,5,3,2,12,6,4,2,15,7,4,2,16,8,5,3,19,9,6,3,22,10,7,3,25,11,7,3,26,12,7,3,27,13,8,4,31,14,9,4,35,15,9,4,36,16,10,5,40,17,11,5,44,18,12,5,48,19,12788,3955,1544,1197,258,12970,19900
793,Ads_CTR_Optimisation,Ad 9,timsort,1044,21,2214,174,198,0,0,0,0,1,1,2,1,1,1,3,2,1,1,4,3,1,1,5,4,1,1,6,5,1,1,7,6,1,1,8,7,1,1,9,8,1,1,10,9,1,1,11,10,2,2,15,11,3,2,19,12,4,2,23,13,5,2,27,14,5,2,28,15,6,3,32,16,6,3,33,17,7,4,37,18,8,4,41,19,15393,2413,1544,1044,146,15575,19900
794,Ads_CTR_Optimisation,Ad 10,timsort,878,10,764,168,178,0,0,0,0,0,0,1,1,0,0,2,2,0,0,3,3,0,0,4,4,0,0,5,5,0,0,6,6,0,0,7,7,0,0,8,8,0,0,9,9,0,0,10,10,0,0,11,11,0,0,12,12,0,0,13,13,0,0,14,14,0,0,15,15,0,0,16,16,0,0,17,17,0,0,18,18,1,1,23,19,17696,963,1544,878,68,17832,19900
795,Drug,Age,introsort,1391,98,9524,178,198,0,0,0,0,0,0,1,1,0,0,2,2,1,1,5,3,1,1,6,4,2,2,10,5,3,3,13,6,3,3,14,7,4,4,18,8,4,4,19,9,5,5,23,10,6,5,27,11,7,6,31,12,7,6,32,13,8,7,36,14,9,7,40,15,10,8,44,16,11,9,48,17,12,10,52,18,13,10,56,19,1391,9723,1544,2002,1607,1406,19900
796,Drug,Na,quick_sort,1499,99,9841,175,199,0,0,0,0,0,0,1,1,1,1,3,2,2,1,6,3,2,1,7,4,3,2,10,5,3,2,11,6,3,2,12,7,3,2,13,8,4,3,17,9,5,4,21,10,6,5,24,11,7,5,28,12,7,5,29,13,8,6,33,14,9,6,37,15,10,7,41,16,10,7,42,17,10,7,43,18,11,8,48,19,1614,10040,1544,1932,1634,1499,19900
797,Drug,K,merge_sort,1544,97,9671,177,197,0,0,0,0,0,0,1,1,1,1,3,2,2,1,6,3,3,2,9,4,4,3,12,5,5,4,14,6,5,4,15,7,5,4,16,8,6,5,19,9,6,5,20,10,6,5,21,11,7,6,25,12,8,6,29,13,8,6,30,14,9,7,34,15,10,8,38,16,11,8,42,17,12,9,46,18,13,9,50,19,1937,9870,1544,2054,1640,1771,19900
